,addr,amount
74,terra1fgzfd80sqejd5yzn6uljghqsvw2sgz8xqadyt2,15904793001
75,terra1xwx9h099scnmcmvdgs9pq72r4jadgk0yqvv2cq,15792938689
76,terra1exu3f6t72x7w06ppu5vu5m5m9s4glywenfnplr,15742710033
77,terra13auw59rp4cgjuzc6zs63f2c6qn5c07dqw349u4,15425522889
78,terra192x3h5j94nny2vpqrrf2g4f3qxdvt4w77g0kr9,15081476922
79,terra1e5mqk7h4ns6336denve9lyt9cgej66c7lg6chj,15000114645
80,terra13mqnsfte39jqav5zn3vmawcn9clj008zhy2nhr,14973664670
81,terra14t6vc3s97rmx4x9e4ey6ghclf22uaejtk86yht,14756038846
82,terra1zurm2x994r3xvqmy85fvqkhtqk9nrg7l4y83h3,14672177743
83,terra186hnmp8d5yxszw5qmtylnx56a250skyvjz07xw,14644980084
84,terra1rjl9pa8033xlsa4epuulnymgfflrq493rfatfh,14481399849
85,terra16haw5khlq5974ysdpfumduw0gk3gul07qssfhg,14302876493
86,terra1ja4xnp77v08cpsglwdt78dy86a9647msdycx62,14224292688
87,terra1achgcl43f5d2e2y7gf0rnjd63tehpm8n5jyaqw,14163512569
88,terra1um84w8kd2axaxys0ncx0ejcf3mew77uc9uzmvz,13202189962
89,terra1w9v4f502g63w5yrskm5y4zm7dn5d6jky8ad6ye,13070992518
90,terra1x4fgz4tuzegds4z949zys0tx8qv90x9umf7hr5,12578183506
91,terra1308z4dde8endstqxq7n4tx9cr5st02zyph4j0r,12230197081
92,terra1ddh04ekusdpdk5uvqqjs2tg8jgxsz8akf387wd,12059432087
93,terra1xx5fq3lpkxufpxn75tggqku30pp8k0fhdukm93,12022374311
94,terra1g02ff96mm04esg6t54ru3j4wkygud38vh5kfuy,11743364117
95,terra1ssghdu9y3cxgs3j7ky0xucccq55n9dn68d5aev,11701654470
96,terra1yt64vphhm6n3uvw0xmnxkzfrckftzpn2cj4n2c,11536652907
97,terra1ea4n2au2jh0hx25axa22admagu5uxlsl9uaku6,11369346345
98,terra15gw5acwwps299jzcc6khfsn2r8u76wxukw2203,11348453651
99,terra1z5psscugp36dtn39hsveuxmnv5yezhwdn9qhft,11300624384
100,terra1suw3e62pdv2m5hl3c5jqvwt5ax2phh78hwp5kq,10940976888
101,terra1qlzszc9g37e7z34ppjc7shtkxxk24k3ce2s3wp,10726845582
102,terra1grj82gvuszr6zc3nfsw0njruw0r5jz9wuqagae,10465714001
103,terra10kedcyttxskycy77xr9legjq7yu7whs4f836ey,10403500102
104,terra1hphqgte7q24yd6kdzm5w2hym88k7vn54hr7sq9,10308375424
105,terra1a0zsx46h8lvv3r080lel5raysqwjh2pdfl4c68,10305874850
106,terra1nqw5w6j6r5h5w84meckd9t0x9uk2gjcyqqy7he,10221765654
107,terra1lmtrzd6v6qp3fp6jhyp3747cszex8r68qt7v3q,10156253758
108,terra1f7pqq6ufrury7z635pp4ev9w9l66cysmghj8vf,10010748933
109,terra19q0p07jjyazpkaj6ml6g8aj46uqtgm5vc2pcl0,10000449732
110,terra1yjvzm5rv8ytpwelymu0y5yyvnw47m75kshz3ma,10000000000
111,terra1tyn4eu2j0y3z53tz5u8f86w9lrxl46p4qe6xcf,9962908387
112,terra1s7rc9xjrgxd7ugsq7ncmlmcwqdrx3h389lj75e,9924664892
113,terra17uw4g8tuuhh59wamrue329fgrydtj3xyc85hj4,9877404301
114,terra1cgkyxs96lggxdhc4h0hemrteuklrclyajppgkd,9610902122
115,terra1nl96s47cglr5uk2lvh57vher2zaxqf3z2amjf0,9537747095
116,terra18dqeta65a9vfsqnz827ey85tuem82w4dph6p6u,9532012658
117,terra1e6yftxzwa43axkvysn3f2yaxpv5zyvdyrl8rnc,9528876872
118,terra1jq0rmjy65gpp7xk2cjzgv74e0rgt6y5dy22kwq,9339872617
119,terra1eclvhut790dpytncmknmxajjc5y6fsa5pqw06d,9259220934
120,terra1pw9s8rkf8fuaj6g0vvaegkan0dtjp33u7tsjdt,9194841816
121,terra1s354cy63ygs0ydzwxwj0v3x0k8mxzmasgwkqg3,9105919323
122,terra1hejutdnwwy7avgz8dlmt4fmetpun27uw2sefat,9053836660
123,terra1hk5ses2nk47qdfn257qayld0df3rkqt6223ug8,9047317064
124,terra1nvqtv48m7na50uvnuute0mqyhzupj0jv870wju,9007147740
125,terra1lje5syk7wzuswhcch5l8zyqtmyh4ztx7s2pluy,9000914061
126,terra19kse5y3jggaeulycln6ack4jcadvun8ud5777c,8913324248
127,terra1mw009wgtu5f2ergnvf2vr7wqts0aezuua3ntms,8837703216
128,terra174p9gs05dmewpjzxlgmcmpl8u0esx7z03tg9t9,8738755534
129,terra1suz7q0lq93qz90ged5nuzkklde9s74yuu9sv3w,8673703158
130,terra1lhtthfwy9fxjq3nd4an8avqvfuy40hlrl5g5cs,8511938699
131,terra1alc2a5ffwrmvkjj0aglxwlntdr8665z7vq7000,8502923886
132,terra1xpmwh39gumkc60t2f976kyzc24s78rlegftmf3,8440544688
133,terra1v7t6m943td7grwz7duckvngjndyjt9pg9txa27,8421293968
134,terra1uhg098zafkhejr5tsj26lgz0l0gz6h0fwjcan3,8412089804
135,terra1rkr4h6s2lqa9kexshvdtxd4a7z934wf2gdt9x3,8200905631
136,terra1c7gv8f87khhhnufczptxa7xy8ag3xrud6lt7ck,8062917183
137,terra16304nvhv38ff5mdc6xexz62dw3hqvwq976rw8v,8057552577
138,terra19mmnq53xyqkr9qzms6nf3tup09vx84u7knq9zc,8041994531
139,terra1kezhmynnhcvmx328e5rzwkwjgd20r2p0gcsymd,8039235075
140,terra12q4uktsscu4504lsg6s8r6vk4xxwwg7u2lfhgz,7940211719
