,Price,Amount,Action,Amount UST (M)
38,0.78,0.06M,Sold NEB,0.061900000000000004
39,0.8,0.01M,Sold NEB,0.01
40,0.81,0.01M,Sold NEB,0.007500000000000001
41,0.8300000000000001,0.0M,Sold NEB,0.0005
42,0.84,0.0M,Sold NEB,0.0014
43,0.85,0.0M,Sold NEB,4.9999999999999996e-06
44,0.86,0.02M,Sold NEB,0.023
45,0.89,0.0M,Sold NEB,0.0025
46,0.91,0.01M,Sold NEB,0.005
47,0.92,0.0M,Sold NEB,0.0001
48,0.9500000000000001,0.0M,Sold NEB,0.00048000000000000007
49,0.97,0.05M,Sold NEB,0.04778
50,0.98,0.0M,Sold NEB,0.0001
51,0.99,0.0M,Sold NEB,0.0001
52,1.03,0.0M,Sold NEB,5.8e-05
53,1.07,0.0M,Sold NEB,5e-05
54,1.15,0.0M,Sold NEB,4.9999999999999996e-06
55,1.17,0.0M,Sold NEB,5e-05
56,1.18,0.02M,Sold NEB,0.0175
57,1.19,0.02M,Sold NEB,0.02
58,1.2,0.0M,Sold NEB,2e-06
59,1.3,0.0M,Sold NEB,0.004605
60,1.33,0.0M,Sold NEB,1e-05
61,1.35,0.01M,Sold NEB,0.005
62,1.37,0.0M,Sold NEB,5e-05
63,1.52,0.0M,Sold NEB,0.0025
64,1.53,0.0M,Sold NEB,2.4999999999999998e-05
65,1.6800000000000002,0.0M,Sold NEB,0.0045000000000000005
66,1.69,0.0M,Sold NEB,0.0005
67,1.7000000000000002,0.03M,Sold NEB,0.026000000000000002
68,1.71,0.0M,Sold NEB,1.4999999999999999e-05
69,1.72,0.01M,Sold NEB,0.005431999999999999
70,1.73,0.02M,Sold NEB,0.0235
71,1.74,0.02M,Sold NEB,0.020050000000000002
72,1.83,0.0M,Sold NEB,5.1e-05
73,1.92,0.0M,Sold NEB,1.6e-05
74,1.96,0.0M,Sold NEB,5e-05
75,2.04,0.0M,Sold NEB,5e-05
76,2.11,0.0M,Sold NEB,0.00299
77,2.14,0.0M,Sold NEB,0.00033000000000000005
78,2.18,0.0M,Sold NEB,0.0017000000000000001
79,2.42,0.0M,Sold NEB,0.0014700000000000002
80,,0.03M,Sold NEB,0.031620999999999996
