,amount_signed
471,1000.0
472,10.0
473,80.0
474,60.0
475,20.0
476,0.15
477,0.0001
478,0.01
479,5000.0
480,0.0001
481,2500.0
482,20000.0
483,10.0
484,140.0
485,0.013000000000000001
486,1e-05
487,40.0
488,10.0
489,48.0
490,4.894549
491,0.5
492,30000.0
493,100.0
494,7.0
495,0.01
496,-161.718883
497,0.01
498,1.0
499,1.0
500,1.0
501,10.0
502,-589.430858
503,-22.136987
504,-2.021969
505,-0.955372
506,-538.799101
507,-2.028109
508,0.001
509,0.01
510,0.0001
511,50.0
512,0.01
513,50.0
514,0.013000000000000001
515,-811.991393
516,-22.753786
517,40.0
518,-0.9705239999999999
519,-994.577623
520,0.00024000000000000003
521,20.0
522,0.1
523,0.001
524,0.01
525,20.0
526,50.0
527,5.0
528,1e-06
529,0.01
530,1000.0
531,1470.0
532,1700.0
533,20.0
534,50.0
535,0.0001
536,1e-05
537,-1.995546
538,100.0
539,300.0
540,0.01
541,1.0
542,-55.426319
543,0.0001
544,0.01
545,74.999999
546,-9.120805
547,-0.966889
548,160.0
549,-2.019619
550,30.0
551,1e-06
552,0.01
553,0.01
554,0.08
555,0.01
556,0.1
557,0.01
558,-414.589958
559,-0.454238
560,0.012
561,1e-06
562,250.0
563,-498.594344
564,50.0
565,0.0009989999999999999
566,0.03
567,5.0
568,0.01
569,-0.450546
570,10.0
571,5651.077151
572,1000.0
573,5.0
574,5000.0
575,2.0
576,-10.494897
577,0.001
578,-1877.804389
579,0.00014000000000000001
580,2000.0
581,1980.0
582,0.05
583,0.011
584,0.01
585,0.01
586,-171.290584
587,-212.034402
588,-0.451991
589,-4.064526
590,-127.881932
591,-718.119219
592,0.06
593,665.0
594,0.03
595,0.1
596,-2.005893
597,-0.42237399999999997
598,0.42
599,-0.940067
600,0.02
601,-0.946178
602,-0.963657
603,-2.014934
604,-29898.448238
605,0.1
606,1e-05
607,0.01
608,500.0
609,50.0
610,50.0
611,150.0
612,0.0001
613,0.01
614,2906.0
615,0.019999
616,0.001
617,0.13
618,50.0
619,0.0001
620,0.01
621,0.0012000000000000001
622,0.01
623,0.011
624,0.0001
625,0.14
626,0.45
627,9e-06
628,1e-05
629,0.01
630,0.015
631,3000.0
632,0.01
633,-0.951954
634,5000.0
635,10.0
636,0.01
637,3.0
638,0.0001
639,1e-06
640,-0.42331599999999997
641,-1.991025
642,-0.431512
643,-2.010421
644,5000.0
645,200.0
646,500.0
647,0.01
648,0.02
649,0.01
650,500.0
651,-0.943697
652,50.0
653,-0.431235
654,-113.696434
655,68.0
656,2.0
657,0.23
658,1e-05
659,0.01
660,0.2
661,0.01
662,0.0001
663,250.0
664,10.0
665,250.0
666,5.0
667,0.01
668,1500.0
669,20.0
670,330.0
671,1e-05
672,0.01
673,0.011
674,0.05
675,0.01
676,0.0001
677,200.0
678,0.001
679,0.26507000000000003
680,-82.312966
681,-30.811198
682,-0.45230000000000004
683,-0.962584
684,-938.840445
685,20.0
686,20000.0
687,0.0001
688,1e-05
689,0.001
690,100.0
691,1.0
692,13000.0
693,994.0
694,-227.341539
695,1250.0
696,0.001
697,-0.922161
698,30.0
699,2000.0
700,1000.0
701,200.0
702,0.0001
703,0.0001
704,0.001
705,-0.450098
706,100.0
707,2000.0
708,0.01
709,20.0
710,25.0
711,50.0
712,0.03
713,750.0
714,110.0
715,290.0
716,30.0
717,50.0
718,20.0
719,-48.06531
720,100.0
721,0.001
722,0.01
723,4.0
724,0.0001
725,0.01
726,1.0
727,0.001
728,1.0
729,0.1
730,0.11
731,-0.42777499999999996
732,1e-05
733,-8546.653307
734,0.0001
735,-323.548402
736,20.0
737,-1150.495331
738,-29.459338
739,-258.211023
740,-0.448351
741,-26.167391
742,0.01
743,5000.0
744,10.0
745,200.0
746,1000.0
747,-3208.645502
748,500.0
749,0.01
750,-0.9502809999999999
751,0.01
752,-0.44373799999999997
753,0.015
754,15.0
755,500.0
756,6000.0
757,485.170811
758,1990.0
759,-4.876289
760,0.009999
761,10000.0
762,0.01
763,0.01
764,8.719284
765,-0.43063599999999996
766,-0.456599
767,0.012
768,1e-05
769,100.0
770,0.1
771,1e-06
772,0.5
773,2800.0
774,0.1
775,0.4
776,0.01
777,-39.612091
778,-191.746125
779,-88.995565
780,-429.517233
781,-3.3658
782,250.0
783,0.4
784,1.0
785,1e-06
786,5.0
787,1e-06
788,0.001
789,0.0001
790,-0.9232
791,250.0
792,0.02
793,-0.9377169999999999
794,0.01
795,1000.0
796,2e-05
797,1e-06
798,100.0
799,500.0
800,0.01
801,4935.72737
802,100.0
803,100.0
804,0.1
805,-415.597673
806,0.01
807,11.0
808,0.03
809,33350.0
810,0.02
811,0.025
812,-60.070683
813,1530.0
814,100.0
815,10.0
816,1e-06
817,6.0
818,-0.965432
819,0.01
820,0.01
821,0.01
822,0.02
823,700.0
824,20.0
825,100.0
826,-90.082809
827,-1645.012784
828,-14.419656
829,-27.148895
830,-98.32163
831,-38.05516
832,-1.9748169999999998
833,-1845.573815
834,3550.310022
835,20.0
836,17500.0
837,0.12
838,0.0001
839,0.001
840,-1430.394767
841,1e-05
842,7500.0
843,100.0
844,-0.928306
845,0.0001
846,0.979853
847,27.0
848,-3.2380459999999998
849,500.0
850,18000.0
851,0.0001
852,0.01
853,5.0
854,15.0
855,160.0
856,0.013000000000000001
857,-0.929257
858,2500.0
859,0.001
860,5.0
861,1e-05
862,0.001
863,4500.0
864,0.001
865,100.0
866,0.01
867,10.0
868,0.00012000000000000002
869,1e-05
870,0.01
871,1e-05
872,10.0
873,10000.0
874,-3016.041071
875,0.5
876,50.0
877,0.1
878,14000.0
879,-9.959204
880,-1.997843
881,-0.42750299999999997
882,-0.432922
883,-1.195174
884,0.01
885,0.4
886,25.0
887,250.0
888,100.0
889,405.0
890,0.01
891,0.0001
892,1.0
893,-12.460664
894,0.01
895,5.0
896,58.0
897,1400.0
898,12.0
899,-0.44962799999999997
900,10.0
901,-26.450189
902,0.1
903,-2.004386
904,161.19097
905,0.01
906,5000.0
907,0.0001
908,0.000101
909,10.0
910,10.0
911,30.0
912,0.013000000000000001
913,-240.933266
914,0.1
915,1e-05
916,0.1
917,1000.0
918,0.1
919,0.05
920,200.0
921,0.001
922,0.02
923,0.02
924,12000.0
925,0.01
926,-123.571816
927,0.0001
928,-12.265416
929,-1021.851577
930,-0.9334549999999999
931,20.0
932,-0.42804699999999996
933,0.00030000000000000003
934,1e-06
935,0.001
936,1e-06
937,0.01
938,4.9999999999999996e-06
939,-0.42933099999999996
940,-336.190165
941,0.0001
942,0.07
943,0.01
944,-10.025243
945,100.0
946,50.0
947,0.01
948,200.0
949,50.0
950,0.001
951,50.0
952,2.0
953,0.01
954,2000.0
955,50.0
956,5.65
957,0.01
958,0.01
959,0.01
960,0.005
961,2500.0
962,0.0006000000000000001
963,25.5
964,-0.964356
965,1.0
966,0.001
967,0.02
968,0.5
969,1e-05
970,0.1
971,50.0
972,1e-05
973,1e-05
974,500.0
975,-0.433762
976,-2.482418
977,0.0001
978,5000.0
979,15.0
980,-0.423049
981,-0.42693899999999996
982,150.0
983,1300.0
984,0.002
985,-0.425938
986,-0.427211
987,0.01
988,0.00025
989,4.0
990,5.0
991,0.01
992,0.005
993,1e-06
994,30.0
995,25.0
996,1e-05
997,0.001
998,20.0
999,21000.0
1000,100.0
1001,0.002
1002,10.0
1003,20000.0
1004,200.0
1005,24.7
1006,0.01
1007,-109.482713
1008,0.01
1009,80.0
1010,-165.384501
1011,-0.420695
1012,683.859979
1013,0.01
1014,0.4
1015,0.01
1016,-0.5995900000000001
1017,25.0
1018,400.0
1019,500.0
1020,5.0
1021,2605.0
1022,0.01
1023,0.0001
1024,0.0001
1025,0.01
1026,100.0
1027,60.0
1028,-259.985468
1029,-0.9492879999999999
1030,-0.421405
1031,14.188259
1032,-1.986466
1033,1e-06
1034,100.0
1035,25.0
1036,50.0
1037,-16.86573
1038,300.0
1039,783.0
1040,0.1
1041,16510.0
1042,20.0
1043,25.0
1044,50.0
1045,0.1
1046,0.01
1047,50.0
1048,-39.203941
1049,0.01
1050,250.0
1051,11500.0
1052,10.0
1053,0.012
1054,15000.0
1055,-85.016426
1056,-3823.617121
1057,0.25
1058,1e-06
1059,0.02
1060,0.05
1061,29.0
1062,0.01
1063,2.0
1064,10.0
1065,0.01
1066,0.02
1067,-9.085822
1068,-105.572374
1069,-22.731315
1070,-4.402667
1071,-0.42510899999999996
1072,-5.501896
1073,-0.945143
1074,0.1
1075,100.0
1076,0.01111
1077,0.0001
1078,0.001
1079,0.01
1080,-2.250961
1081,-11364.287766
1082,0.1
1083,-13.582919
1084,0.01
1085,50.0
1086,-0.935125
1087,5.0
1088,100.0
1089,0.001
1090,0.01
1091,0.01
1092,0.01
1093,3.4
1094,0.0001
